# Celestial Object Visibility Report
# Location: Lat=31.5473, Lon=-99.3827, Alt=446m
# Timezone: America/Chicago
# Observation Window (Astronomical Twilight): 2025-07-03 22:24:50 CDT to 2025-07-04 04:59:15 CDT
# LST Range: 15:36:55 to 22:12:25
# Sun Anti-Meridian (Approx. Local Midnight): 2025-07-04 01:42:03 CDT (LST: 18:54:40)
# Total Observable Objects in Report: 78
# Altitude Threshold: > 30.0 deg
# Objects included if: above 30° at evening twilight, OR transit is observable and above 30°, OR above 30° at morning twilight.
# Includes standard Messier objects and any custom objects defined in custom_objects.json.
# Times are based on direct astroplan calculations for the specified horizon.
# Times marked with '*' occur before evening twilight (rise) or after morning twilight (set).
# 'Circumpolar' indicates object remains above 30.0° for the entire night period.
#
Object               RA (J2000)   Dec (J2000)  Rise > 30°      Transit         Max Alt  Set < 30°      
=======================================================================================================
M110                 00 40 22.1   +41 41 08    02:24:05 CDT    07:28:13 CDT    79.7°    12:32:19 CDT*  
M32                  00 42 41.8   +40 51 55    02:27:46 CDT    07:30:31 CDT    80.5°    12:33:17 CDT*  
M31                  00 42 44.3   +41 16 07    02:27:08 CDT    07:30:34 CDT    80.1°    12:34:00 CDT*  
M103                 01 33 21.4   +60 39 32    02:46:10 CDT    08:21:20 CDT    60.8°    13:56:30 CDT*  
M33                  01 33 50.9   +30 39 37    03:36:19 CDT    08:20:58 CDT    89.2°    13:06:50 CDT*  
M74                  01 36 41.7   +15 47 01    04:08:12 CDT    08:24:21 CDT    74.4°    12:40:30 CDT*  
M76                  01 42 19.7   +51 34 32    03:10:03 CDT    08:30:12 CDT    69.8°    13:50:21 CDT*  
M34                  02 42 07.4   +42 43 19    04:24:06 CDT    09:29:51 CDT    78.7°    14:35:38 CDT*  
M81                  09 55 33.2   +69 03 55    10:56:11 CDT*   16:46:27 CDT    52.6°    22:36:44 CDT   
M82                  09 55 52.4   +69 40 47    10:55:15 CDT*   16:46:48 CDT    52.0°    22:38:21 CDT   
M108                 11 11 31.0   +55 40 27    12:35:15 CDT*   18:01:38 CDT    66.0°    23:28:02 CDT   
M97                  11 14 47.7   +55 01 08    12:39:34 CDT*   18:04:54 CDT    66.7°    23:30:13 CDT   
M109                 11 57 36.0   +53 22 29    13:24:48 CDT*   18:47:26 CDT    68.3°    00:10:05 CDT   
M98                  12 13 48.3   +14 54 02    14:49:58 CDT*   19:03:35 CDT    73.2°    23:17:12 CDT   
M99                  12 18 49.6   +14 25 00    14:56:03 CDT*   19:08:35 CDT    72.7°    23:21:08 CDT   
M106                 12 18 57.6   +47 18 13    13:55:52 CDT*   19:08:41 CDT    74.4°    00:21:31 CDT   
M61                  12 21 54.9   +04 28 26    15:23:33 CDT*   19:11:40 CDT    62.8°    22:59:48 CDT   
M40                  12 22 12.0   +58 04 59    13:41:31 CDT*   19:11:53 CDT    63.6°    00:42:15 CDT   
M100                 12 22 54.9   +15 49 20    14:57:01 CDT*   19:12:40 CDT    74.1°    23:28:18 CDT   
M84                  12 25 03.7   +12 53 13    15:05:43 CDT*   19:14:48 CDT    71.2°    23:23:53 CDT   
M85                  12 25 24.1   +18 11 28    14:54:26 CDT*   19:15:08 CDT    76.5°    23:35:50 CDT   
M86                  12 26 11.8   +12 56 45    15:06:43 CDT*   19:15:56 CDT    71.3°    23:25:09 CDT   
M49                  12 29 46.8   +08 00 01    15:22:10 CDT*   19:19:30 CDT    66.3°    23:16:52 CDT   
M87                  12 30 49.4   +12 23 28    15:12:36 CDT*   19:20:33 CDT    70.7°    23:28:29 CDT   
M88                  12 31 59.2   +14 25 13    15:09:09 CDT*   19:21:43 CDT    72.7°    23:34:15 CDT   
M91                  12 35 26.4   +14 29 47    15:12:25 CDT*   19:25:09 CDT    72.8°    23:37:52 CDT   
M89                  12 35 39.8   +12 33 23    15:17:03 CDT*   19:25:22 CDT    70.9°    23:33:42 CDT   
M90                  12 36 49.8   +13 09 47    15:16:49 CDT*   19:26:32 CDT    71.5°    23:36:15 CDT   
M58                  12 37 43.5   +11 49 06    15:20:49 CDT*   19:27:25 CDT    70.1°    23:34:02 CDT   
M59                  12 42 02.3   +11 38 49    15:25:31 CDT*   19:31:44 CDT    70.0°    23:37:56 CDT   
M60                  12 43 40.0   +11 33 10    15:27:21 CDT*   19:33:21 CDT    69.9°    23:39:20 CDT   
M94                  12 50 53.1   +41 07 13    14:37:44 CDT*   19:40:29 CDT    80.6°    00:43:12 CDT   
M64                  12 56 43.7   +21 40 58    15:18:29 CDT*   19:46:20 CDT    80.0°    00:14:12 CDT   
M53                  13 12 55.2   +18 10 05    15:41:49 CDT*   20:02:30 CDT    76.5°    00:23:10 CDT   
M63                  13 15 49.3   +42 01 46    15:01:03 CDT*   20:05:16 CDT    79.6°    01:09:31 CDT   
M51                  13 29 52.7   +47 11 43    15:06:34 CDT*   20:19:14 CDT    74.5°    01:31:54 CDT   
M3                   13 42 11.6   +28 22 38    15:50:57 CDT*   20:31:42 CDT    86.7°    01:12:17 CDT   
M101                 14 03 12.6   +54 20 56    15:28:03 CDT*   20:52:19 CDT    67.3°    02:16:34 CDT   
M102                 15 06 29.6   +55 45 48    16:28:38 CDT*   21:55:14 CDT    65.9°    03:21:50 CDT   
TZ Boo               15 08 09.1   +39 58 13    16:56:15 CDT*   21:57:10 CDT    81.7°    02:58:01 CDT   
M5                   15 18 33.2   +02 04 52    18:26:16 CDT*   22:07:50 CDT    60.4°    01:49:24 CDT   
M80                  16 17 02.4   -22 58 34    21:22:42 CDT*   23:06:24 CDT    35.4°    00:50:06 CDT   
M4                   16 23 35.2   -26 31 33    22:11:04 CDT*   23:12:58 CDT    31.9°    00:14:52 CDT   
M107                 16 32 31.9   -13 03 14    20:35:00 CDT*   23:21:45 CDT    45.3°    02:08:30 CDT   
M13                  16 41 41.6   +36 27 41    18:35:19 CDT*   23:30:19 CDT    85.1°    04:25:27 CDT   
M12                  16 47 14.2   -01 56 55    20:06:49 CDT*   23:36:19 CDT    56.5°    03:05:49 CDT   
M10                  16 57 09.0   -04 06 01    20:23:46 CDT*   23:46:13 CDT    54.3°    03:08:40 CDT   
M19                  17 02 37.7   -26 16 05    22:45:30 CDT    23:51:55 CDT    32.1°    00:58:20 CDT   
M92                  17 17 07.4   +43 08 09    18:59:22 CDT*   00:05:35 CDT    78.4°    05:11:49 CDT*  
M9                   17 19 11.8   -18 30 58    21:51:02 CDT*   00:08:21 CDT    39.9°    02:25:41 CDT   
M14                  17 37 36.2   -03 14 45    21:01:10 CDT*   00:26:33 CDT    55.2°    03:51:57 CDT   
M23                  17 56 56.9   -18 59 13    22:31:32 CDT    00:46:01 CDT    39.5°    03:00:30 CDT   
M20                  18 02 42.0   -22 58 18    23:07:28 CDT    00:51:48 CDT    35.5°    02:36:08 CDT   
M8                   18 03 37.0   -24 23 12    23:22:15 CDT    00:52:44 CDT    34.1°    02:23:12 CDT   
M21                  18 04 08.6   -22 30 18    23:04:48 CDT    00:53:14 CDT    35.9°    02:41:40 CDT   
M24                  18 16 48.0   -18 33 00    22:48:28 CDT    01:05:48 CDT    39.9°    03:23:08 CDT   
M16                  18 18 45.1   -13 47 31    22:24:09 CDT*   01:07:42 CDT    44.7°    03:51:15 CDT   
M18                  18 19 57.4   -17 05 20    22:42:48 CDT    01:08:56 CDT    41.4°    03:35:05 CDT   
M17                  18 20 47.0   -16 10 18    22:38:29 CDT    01:09:45 CDT    42.3°    03:41:01 CDT   
M28                  18 24 32.9   -24 52 11    23:48:17 CDT    01:13:36 CDT    33.6°    02:38:55 CDT   
M25                  18 31 44.9   -19 06 50    23:06:56 CDT    01:20:43 CDT    39.4°    03:34:31 CDT   
M22                  18 36 23.9   -23 54 17    23:49:41 CDT    01:25:25 CDT    34.6°    03:01:08 CDT   
M26                  18 45 16.1   -09 23 10    22:31:00 CDT    01:31:47 CDT    49.1°    04:37:13 CDT   
M11                  18 51 03.8   -06 16 19    22:24:47 CDT*   01:38:13 CDT    52.2°    04:54:54 CDT   
M57                  18 53 35.1   +33 01 45    20:52:40 CDT*   01:41:46 CDT    88.5°    06:31:13 CDT*  
M56                  19 16 35.6   +30 11 00    21:20:41 CDT*   02:04:32 CDT    88.7°    06:49:12 CDT*  
M71                  19 53 46.5   +18 46 45    22:19:48 CDT*   02:42:09 CDT    77.3°    07:04:31 CDT*  
M27                  19 59 36.4   +22 43 16    22:17:37 CDT*   02:47:57 CDT    81.2°    07:18:15 CDT*  
M75                  20 06 04.8   -21 55 20    01:00:54 CDT    02:54:48 CDT    36.6°    04:48:41 CDT   
M29                  20 23 46.3   +38 29 13    22:13:10 CDT*   03:11:50 CDT    83.0°    08:10:35 CDT*  
M72                  20 53 27.7   -12 32 14    00:52:05 CDT    03:41:56 CDT    46.0°    06:31:47 CDT*  
M73                  20 59 00.0   -12 37 59    00:58:02 CDT    03:47:28 CDT    45.9°    06:36:53 CDT*  
M15                  21 29 58.3   +12 10 01    00:10:10 CDT    04:18:10 CDT    70.7°    08:26:11 CDT*  
M39                  21 31 33.4   +48 14 49    23:04:42 CDT    04:19:27 CDT    73.2°    09:34:12 CDT*  
M2                   21 33 27.0   -00 49 24    00:48:11 CDT    04:21:44 CDT    57.7°    07:55:16 CDT*  
M30                  21 40 22.1   -23 10 47    02:45:16 CDT    04:28:46 CDT    35.4°    06:12:16 CDT*  
ASAS J221652+2229.6  22 16 52.2   +22 29 34    00:34:56 CDT    05:04:55 CDT    81.1°    09:34:54 CDT*  
M52                  23 24 46.8   +61 35 24    00:35:47 CDT    06:12:34 CDT    59.8°    11:49:21 CDT*  
