# Celestial Object Visibility Report
# Location: Lat=31.5473, Lon=-99.3827, Alt=446m
# Timezone: America/Chicago
# Evening Twilight Ends:    2025-11-20 19:00:52 CST  (LST: 22:24:31) East RA: 02 38 16.3  West RA: 18 08 09.3
# Sun Anti-Meridian:        2025-11-21 00:23:30 CST  (LST: 3:48:01)  East RA: 08 01 45.1  West RA: 23 31 29.9
# Morning Twilight Begins:  2025-11-21 05:46:07 CST  (LST: 9:11:32)  East RA: 13 25 28.9  West RA: 04 54 49.3
# Total Observable Objects in Report: 94
# Altitude Threshold: > 30.0 deg
# Objects included if: above 30° at evening twilight, OR transit is observable and above 30°, OR above 30° at morning twilight.
# Includes standard Messier objects and any custom objects defined in custom_objects.json.
# Times are based on direct astroplan calculations for the specified horizon.
# Times marked with '*' occur before evening twilight (rise) or after morning twilight (set).
# 'Circumpolar' indicates object remains above 30.0° for the entire night period.
#
Object               RA (J2000)   Dec (J2000)  Rise > 30°      Transit         Max Alt  Set < 30°      
=======================================================================================================
M110                 00 40 22.1   +41 41 08    16:13:39 CST*   21:17:47 CST    79.7°    02:21:54 CST   
M32                  00 42 41.8   +40 51 55    16:17:20 CST*   21:20:06 CST    80.5°    02:22:52 CST   
M31                  00 42 44.3   +41 16 07    16:16:43 CST*   21:20:09 CST    80.1°    02:23:35 CST   
SA20                 00 45 51.2   +45 53 06    16:12:18 CST*   21:23:17 CST    75.5°    02:34:16 CST   
SA92                 00 55 15.5   +00 47 26    17:54:03 CST*   21:32:33 CST    59.4°    01:11:03 CST   
M103                 01 33 21.4   +60 39 32    16:35:47 CST*   22:10:57 CST    60.8°    03:46:08 CST   
M33                  01 33 50.9   +30 39 37    17:25:54 CST*   22:11:10 CST    89.2°    02:56:26 CST   
M74                  01 36 41.7   +15 47 01    17:57:47 CST*   22:13:56 CST    74.4°    02:30:05 CST   
M76                  01 42 19.7   +51 34 32    16:59:39 CST*   22:19:48 CST    69.8°    03:39:58 CST   
M34                  02 42 07.4   +42 43 19    18:13:42 CST*   23:19:28 CST    78.7°    04:25:15 CST   
M77                  02 42 40.7   -00 00 48    19:43:40 CST    23:19:41 CST    58.6°    02:55:41 CST   
Algol                03 08 10.1   +40 57 20    18:42:37 CST*   23:45:28 CST    80.5°    04:48:19 CST   
M45                  03 46 24.2   +24 06 50    19:50:24 CST    00:23:24 CST    82.6°    04:56:29 CST   
SA95                 03 54 26.8   +00 13 48    20:54:37 CST    00:31:15 CST    58.8°    04:07:54 CST   
M79                  05 24 10.6   -24 31 27    00:31:07 CST    02:00:29 CST    34.0°    03:29:50 CST   
M38                  05 28 40.1   +35 49 26    21:11:32 CST    02:05:38 CST    85.7°    06:59:43 CST*  
M1                   05 34 31.8   +22 01 03    21:42:28 CST    02:11:17 CST    80.5°    06:40:07 CST*  
M42                  05 35 16.8   -05 23 15    22:53:34 CST    02:11:45 CST    53.1°    05:29:57 CST   
M43                  05 35 31.0   -05 16 12    22:53:23 CST    02:11:59 CST    53.2°    05:30:36 CST   
M36                  05 36 20.2   +34 08 06    21:22:05 CST    02:13:14 CST    87.4°    07:04:26 CST*  
M78                  05 46 45.8   +00 04 45    22:47:16 CST    02:23:15 CST    58.5°    05:59:15 CST*  
M37                  05 52 17.8   +32 32 42    21:40:46 CST    02:29:03 CST    89.0°    07:17:32 CST*  
M35                  06 09 05.3   +24 20 10    22:12:29 CST    02:45:47 CST    82.8°    07:19:05 CST*  
M41                  06 45 59.8   -20 42 58    01:19:40 CST    03:22:07 CST    37.7°    05:24:34 CST   
SA98                 06 52 03.5   -00 19 27    23:53:44 CST    03:28:22 CST    58.1°    07:03:00 CST*  
M50                  07 02 44.2   -08 21 54    00:32:00 CST    03:38:56 CST    50.1°    06:45:52 CST*  
M47                  07 36 35.3   -14 29 20    01:32:51 CST    04:12:38 CST    43.9°    06:52:25 CST*  
M46                  07 41 46.8   -14 50 38    01:39:51 CST    04:17:49 CST    43.6°    06:55:47 CST*  
M93                  07 44 33.8   -23 51 11    02:45:02 CST    04:20:30 CST    34.5°    05:55:58 CST*  
M48                  08 13 38.9   -05 43 34    01:33:02 CST    04:49:41 CST    52.7°    08:06:20 CST*  
M44                  08 40 13.0   +19 37 16    00:52:37 CST    05:16:23 CST    78.0°    09:40:09 CST*  
M67                  08 51 23.0   +11 48 50    01:20:45 CST    05:27:27 CST    70.2°    09:34:09 CST*  
M81                  09 55 33.2   +69 03 55    00:41:54 CST    06:32:08 CST    52.6°    12:22:23 CST*  
M82                  09 55 52.4   +69 40 47    00:40:58 CST    06:32:29 CST    52.0°    12:24:00 CST*  
SA101                09 56 35.0   -00 29 46    02:58:33 CST    06:32:22 CST    57.8°    10:06:12 CST*  
M95                  10 43 57.7   +11 42 13    03:13:18 CST    07:19:40 CST    70.0°    11:26:01 CST*  
M96                  10 46 45.7   +11 49 12    03:15:50 CST    07:22:27 CST    70.1°    11:29:05 CST*  
M105                 10 47 49.6   +12 34 54    03:15:07 CST    07:23:31 CST    70.9°    11:31:54 CST*  
M108                 11 11 31.0   +55 40 27    02:20:54 CST    07:47:17 CST    66.0°    13:13:39 CST*  
M97                  11 14 47.7   +55 01 08    02:25:14 CST    07:50:32 CST    66.7°    13:15:50 CST*  
M65                  11 18 55.9   +13 05 32    03:44:58 CST    07:54:31 CST    71.4°    12:04:04 CST*  
M66                  11 20 15.0   +12 59 29    03:46:31 CST    07:55:50 CST    71.3°    12:05:09 CST*  
