# Celestial Object Visibility Report
# Location: Lat=31.5473, Lon=-99.3827, Alt=446m
# Timezone: America/Chicago
# Evening Twilight Ends:    2025-11-11 19:04:10 CST  (LST: 21:52:20)  East RA: 02 06 06.7  West RA: 17 35 58.4
# Sun Anti-Meridian:        2025-11-12 00:21:47 CST  (LST:  3:10:50)  East RA: 07 24 33.1  West RA: 22 54 20.1
# Morning Twilight Begins:  2025-11-12 05:39:25 CST  (LST:  8:29:20)  East RA: 12 43 15.2  West RA: 04 12 38.0
# Total Observable Objects in Report: 88
# Altitude Threshold: > 30.0 deg
# Objects included if: above 30° at evening twilight, OR transit is observable and above 30°, OR above 30° at morning twilight.
# Includes standard Messier objects and any custom objects defined in custom_objects.json.
# Times are based on direct astroplan calculations for the specified horizon.
# Times marked with '*' occur before evening twilight (rise) or after morning twilight (set).
# 'Circumpolar' indicates object remains above 30.0° for the entire night period.
#
Object               RA (J2000)   Dec (J2000)  Rise > 30°      Transit         Max Alt  Set < 30°      
=======================================================================================================
M110                 00 40 22.1   +41 41 08    16:49:03 CST*   21:53:10 CST    79.7°    02:57:17 CST   
M32                  00 42 41.8   +40 51 55    16:52:44 CST*   21:55:30 CST    80.5°    02:58:16 CST   
M31                  00 42 44.3   +41 16 07    16:52:06 CST*   21:55:32 CST    80.1°    02:58:58 CST   
SA20                 00 45 51.2   +45 53 06    16:47:41 CST*   21:58:40 CST    75.5°    03:09:39 CST   
SA92                 00 55 15.5   +00 47 26    18:29:26 CST*   22:07:56 CST    59.4°    01:46:26 CST   
M103                 01 33 21.4   +60 39 32    17:11:10 CST*   22:46:20 CST    60.8°    04:21:31 CST   
M33                  01 33 50.9   +30 39 37    18:01:17 CST*   22:46:25 CST    89.2°    03:31:49 CST   
M74                  01 36 41.7   +15 47 01    18:33:10 CST*   22:49:19 CST    74.4°    03:05:29 CST   
M76                  01 42 19.7   +51 34 32    17:35:02 CST*   22:55:11 CST    69.8°    04:15:21 CST   
