# Messier Object Visibility Report
# Location: Lat=31.5473, Lon=-99.3827, Alt=446m
# Timezone: America/Chicago
# Observation Window: 2025-04-16 21:32:35 CDT to 2025-04-17 05:41:08 CDT
# LST Range: 9:37:00 to 17:46:53
# Sun Anti-Meridian: 2025-04-17 01:36:51 CDT
# LST at Sun Anti-Meridian: 13:41:56
# Total Observable Objects: 80
# Altitude Threshold: > 30.0 deg
# Note: Objects included if above 30° at evening twilight, observable transit, or morning twilight.
# Note: Times are based on direct astroplan calculations.
# Note: Times marked with '*' occur before evening twilight (rise) or after morning twilight (set).
# Note: Circumpolar objects have declination > (90 - latitude) degrees.
#
Object   RA (J2000)   Dec (J2000)  Rise > 30°      Transit         Max Alt  Set < 30°      
===========================================================================================
M38      05 28 40.1   +35 49 26    12:32:31 CDT*   17:26:32 CDT    85.7°    22:20:43 CDT   
M1       05 34 31.8   +22 01 03    13:03:28 CDT*   17:32:18 CDT    80.5°    22:01:07 CDT   
M36      05 36 20.2   +34 08 06    12:43:04 CDT*   17:34:11 CDT    87.4°    22:25:25 CDT   
M37      05 52 17.8   +32 32 42    13:01:45 CDT*   17:50:41 CDT    89.0°    22:38:32 CDT   
M35      06 09 05.3   +24 20 10    13:33:29 CDT*   18:06:46 CDT    82.8°    22:40:06 CDT   
M50      07 02 44.2   -08 21 54    15:53:03 CDT*   18:59:57 CDT    50.0°    22:06:52 CDT   
M47      07 36 35.3   -14 29 20    16:53:56 CDT*   19:33:40 CDT    43.9°    22:13:23 CDT   
M46      07 41 46.8   -14 50 38    17:00:56 CDT*   19:38:51 CDT    43.5°    22:16:45 CDT   
M48      08 13 38.9   -05 43 34    16:54:05 CDT*   20:10:43 CDT    52.6°    23:27:21 CDT   
M44      08 40 13.0   +19 37 16    16:13:38 CDT*   20:37:25 CDT    78.0°    01:01:12 CDT   
M67      08 51 23.0   +11 48 50    16:41:47 CDT*   20:48:29 CDT    70.2°    00:55:11 CDT   
M81      09 55 33.2   +69 03 55    Circumpolar     21:53:11 CDT    52.6°    Circumpolar    
M82      09 55 52.4   +69 40 47    Circumpolar     21:53:32 CDT    52.0°    Circumpolar    
M95      10 43 57.7   +11 42 13    18:34:22 CDT*   22:40:43 CDT    70.0°    02:47:04 CDT   
